group	method	submitTime	launchTime	finishTime	task	taskNo	taskStartTime	taskFinishTime	taskInputBytes	taskOutputBytes	taskInputRecords	taskOutputRecords	attemptNo	aStartTime	aFinishTime	mapInputBytes	mapOutputBytes	mapInputRecords	mapOutputRecords	cumulativeCpuUsage	virtualMemoryUsage	physicalMemoryUsage	heapUsage	combineInputRecords	reduceInputGroups	reduceInputRecords	reduceShuffleBytes	reduceOutputRecords	spilledRecords	shuffleFinished	sortedFinished	hostName	hdfsBytesRead	hdfsBytesWritten	fileBytesRead	fileBytesWritten
wordcount	WordCount[1601024855484]	1601024855880	1601024859607	1601024955754	Map	0	1601024859696	1601024864710	1617393	365260	4412	257790	1	1601024861929	1601024864710	4412	-1	2641780	257790	3120	2064584704	239910912	128974848	-1	-1	-1	-1	-1	-1	-1	-1	/default-rack/slave1	1617393	0	0	365260
wordcount	WordCount[1601024855484]	1601024855880	1601024859607	1601024955754	Map	1	1601024859698	1601024864868	1473182	441567	2047	229723	1	1601024861930	1601024864868	2047	-1	2388906	229723	3050	2066456576	237105152	128450560	-1	-1	-1	-1	-1	-1	-1	-1	/default-rack/slave1	1473182	0	0	441567
wordcount	WordCount[1601024855484]	1601024855880	1601024859607	1601024955754	Map	2	1601024859699	1601024864472	1340433	321169	3377	215622	1	1601024861930	1601024864472	3377	-1	2197703	215622	3160	2067615744	235659264	127401984	-1	-1	-1	-1	-1	-1	-1	-1	/default-rack/slave4	1340433	0	0	321169
wordcount	WordCount[1601024855484]	1601024855880	1601024859607	1601024955754	Map	3	1601024859699	1601024864637	883288	346451	2730	139447	1	1601024861924	1601024864637	2730	-1	1436786	139447	2770	2062671872	241967104	129499136	-1	-1	-1	-1	-1	-1	-1	-1	/default-rack/slave1	883288	0	0	346451
wordcount	WordCount[1601024855484]	1601024855880	1601024859607	1601024955754	Map	4	1601024859699	1601024864379	863689	332398	5293	133929	1	1601024861929	1601024864379	5293	-1	1391320	133929	2920	2070106112	250114048	128450560	-1	-1	-1	-1	-1	-1	-1	-1	/default-rack/slave4	863689	0	0	332398
wordcount	WordCount[1601024855484]	1601024855880	1601024859607	1601024955754	Map	5	1601024859699	1601024864336	844530	292732	2624	123161	1	1601024861930	1601024864336	2624	-1	1333055	123161	2380	2064375808	237735936	125829120	-1	-1	-1	-1	-1	-1	-1	-1	/default-rack/slave4	844530	0	0	292732
wordcount	WordCount[1601024855484]	1601024855880	1601024859607	1601024955754	Map	6	1601024859699	1601024864635	840472	292304	2629	122588	1	1601024861913	1601024864635	2629	-1	1326692	122588	2540	2064769024	237088768	125304832	-1	-1	-1	-1	-1	-1	-1	-1	/default-rack/slave1	840472	0	0	292304
wordcount	WordCount[1601024855484]	1601024855880	1601024859607	1601024955754	Map	7	1601024859700	1601024864861	789867	361771	2	143235	1	1601024861944	1601024864861	2	-1	1356060	143235	3110	2064166912	234684416	126877696	-1	-1	-1	-1	-1	-1	-1	-1	/default-rack/slave2	789867	0	0	361771
wordcount	WordCount[1601024855484]	1601024855880	1601024859607	1601024955754	Map	8	1601024859700	1601024864774	736304	334535	2	134448	1	1601024861929	1601024864774	2	-1	1265488	134448	2250	2064449536	236089344	123207680	-1	-1	-1	-1	-1	-1	-1	-1	/default-rack/slave5	736304	0	0	334535
wordcount	WordCount[1601024855484]	1601024855880	1601024859607	1601024955754	Map	9	1601024859700	1601024864640	730624	316887	2	138437	1	1601024861923	1601024864640	2	-1	1281049	138437	2210	2063048704	233807872	124780544	-1	-1	-1	-1	-1	-1	-1	-1	/default-rack/slave5	730624	0	0	316887
