C_ID	Text	IsValidCode
第1章	某些感染性疾病或寄生虫病	否
L1-1A0	感染性胃肠炎或结肠炎	否
L2-1A0	细菌性肠道感染	否
1A00	霍乱	是
1A01	其他弧菌的肠道感染	是
1A02	志贺菌肠道感染	是
1A03	大肠埃希菌肠道感染	否
1A03.0	肠致病性大肠埃希菌感染	是
1A03.1	产肠毒素性大肠埃希菌感染	是
1A03.2	肠侵袭性大肠埃希菌感染	是
1A03.3	肠出血性大肠埃希菌感染	是
1A03.Y	其他特指的大肠埃希菌肠道感染	是
1A03.Z	大肠埃希菌肠道感染，未特指的	是
1A04	难辨梭状芽孢杆菌小肠结肠炎	是
1A05	小肠结肠耶尓森菌肠道感染	是
1A06	耶尓森菌肠炎	是
1A07	伤寒	否
1A07.0	伤寒并发腹膜炎	是
1A07.Y	其他特指的伤寒	是
1A07.Z	伤寒，未特指的	是
1A08	副伤寒	是
1A09	其他沙门菌感染	是
1A0Y	其他特指的细菌性肠道感染	是
1A0Z	细菌性肠道感染，未特指的	是
L2-1A1	细菌性食物中毒	否
1A10	葡萄球菌食物中毒	是
1A11	肉毒中毒	否
1A11.0	肉毒毒素食源性中毒	是
1A11.1	其他形式的肉毒中毒	是
1A11.Z	肉毒中毒，未特指的	是
1A12	产气荚膜梭状芽孢杆菌食物中毒	是
1A13	蜡样芽孢杆菌食物中毒	是
1A1Y	其他特指的细菌性食物中毒	是
1A1Z	细菌性食物中毒，未特指的	是
L2-1A2	病毒性肠道感染	否
1A20	腺病毒性肠炎	是
1A21	星状病毒肠炎	是
1A22	轮状病毒胃肠炎	是
1A23	诺如病毒肠炎	是
1A24	巨细胞病毒性肠道感染	是
1A2Y	其他特指的病毒性肠道感染	是
1A2Z	病毒性肠道感染，未特指的	是
L2-1A3	肠道原虫感染	否
1A30	结肠小袋纤毛虫感染	是
1A31	贾第虫病	是
1A32	隐孢子虫病	是
1A33	等孢球虫病	否
1A33.0	小肠等孢球虫病	是
1A33.1	结肠等孢球虫病	是
1A33.Y	其他特指的等孢球虫病	是
1A33.Z	等球孢虫病，未特指的	是
1A34	肉孢子虫病	是
1A35	人芽囊原虫病	是
1A36	阿米巴病	否
1A36.0	溶组织内阿米巴肠道感染	否
1A36.00	急性阿米巴病	是
1A36.01	肠阿米巴瘤	是
1A36.0Z	溶组织内阿米巴肠道感染，未特指的	是
1A36.1	溶组织内阿米巴肠外感染	否
1A36.10	阿米巴肝脓肿	是
1A36.11	阿米巴肺脓肿	是
1A36.12	皮肤阿米巴病	是
1A36.1Y	其他特指部位的阿米巴病	是
1A36.Z	阿米巴病，未特指的	是
1A3Y	其他特指的肠道原虫感染	是
1A3Z	肠道原虫感染，未特指的	是
1A40	未特指感染性病原体的胃肠炎或结肠炎	否
1A40.0	未特指病因的胃肠炎或结肠炎	是
1A40.Z	未特指感染性病原体的感染性胃肠炎或结肠炎	是
L1-1A6	以性传播为主要途径的感染性疾患	否
L2-1A6	梅毒	否
1A60	先天性梅毒	否
1A60.0	早期先天性梅毒，有症状	是
1A60.1	早期先天性梅毒，潜伏性	是
1A60.2	晚期先天性梅毒眼病	是
1A60.3	晚期先天性神经梅毒	是
1A60.4	晚期先天性梅毒，有症状	是
1A60.5	晚期先天性梅毒，潜伏性	是
1A60.Z	先天性梅毒，未特指的	是
1A61	早期梅毒	否
1A61.0	一期生殖器梅毒	是
1A61.1	一期肛门梅毒	是
1A61.2	一期其他部位梅毒	是
1A61.3	二期皮肤或黏膜梅毒	是
1A61.4	二期其他部位梅毒	是
1A61.5	早期潜伏性梅毒	是
1A61.Y	其他特指的早期梅毒	是
1A61.Z	早期梅毒，未特指的	是
1A62	晚期梅毒	否
1A62.0	神经梅毒	否
1A62.00	无症状性神经梅毒	是
1A62.01	有症状性晚期神经梅毒	是
1A62.0Z	神经梅毒，未特指的	是
1A62.1	晚期心血管梅毒	是
